"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"189","11","","Malcolm Brown","LAR","RB58","9","118","373","200.7","38.1","218.0","+29.0"
"190","11","","Hunter Renfrow","LV","WR68","6","75","338","198.6","33.7","191.0","+1.0"
"191","11","","Greg Olsen","SEA","TE24","6","105","304","192.2","37.0","190.0","-1.0"
"192","11","","Joshua Kelley","LAC","RB59","10","76","367","189.9","48.9","210.0","+18.0"
"193","11","","Los Angeles (LAR)","","DST10","9","128","288","191.1","27.2","200.0","+7.0"
"194","11","","Darrynton Evans","TEN","RB60","7","130","360","195.2","44.9","206.0","+12.0"
"195","11","","Larry Fitzgerald","ARI","WR69","8","102","280","193.9","26.4","205.0","+10.0"
"196","11","","Tyrell Williams","LV","WR70","6","109","286","196.5","29.8","213.0","+17.0"
"197","11","","Benny Snell Jr.","PIT","RB61","8","132","311","206.6","33.2","243.0","+46.0"
"198","11","","Denzel Mims","NYJ","WR71","11","107","327","200.4","34.1","176.0","-22.0"
"199","11","","Dede Westbrook","JAC","WR72","7","98","301","203.3","30.0","184.0","-15.0"
"200","11","","Ryquell Armstead","JAC ","RB62","7","121","329","211.8","39.6","222.0","+22.0"
"201","11","","DeAndre Washington","KC","RB63","10","103","327","205.8","46.5","267.0","+66.0"
"202","11","","Randall Cobb","HOU","WR73","8","124","295","205.9","25.2","224.0","+22.0"
"203","11","","Anthony McFarland Jr.","PIT","RB64","8","115","351","201.7","46.4","202.0","-1.0"
"204","11","","John Ross","CIN ","WR74","9","112","283","202.3","30.4","194.0","-10.0"
"205","11","","Philadelphia (PHI)","","DST11","9","131","249","207.8","20.4","229.0","+24.0"
"206","11","","Giovani Bernard","CIN","RB65","9","133","289","210.8","33.2","242.0","+36.0"
"207","11","","O.J. Howard","TB","TE25","13","62","335","206.3","41.3","217.0","+10.0"
"208","11","","Denver (DEN)","","DST12","8","96","295","208.8","21.9","223.0","+15.0"
"209","11","","Robbie Gould","SF","K5","11","122","299","207.2","18.1","178.0","-31.0"
"210","11","","Steven Sims","WAS","WR75","8","109","341","208.8","51.3","290.0","+80.0"
"211","11","","Cole Beasley","BUF","WR76","11","148","295","211.9","24.0","234.0","+23.0"
"212","11","","Rashaad Penny","SEA","RB66","6","118","364","209.9","42.3","185.0","-27.0"
"213","11","","Laviska Shenault Jr.","JAC","WR77","7","96","355","212.7","42.7","226.0","+13.0"
"214","11","","Jace Sternberger","GB","TE26","5","121","321","213.0","40.3","208.0","-6.0"
"215","11","","Matt Gay","TB","K6","13","157","321","213.4","19.8","220.0","+5.0"
"216","11","","Los Angeles (LAC)","","DST13","10","119","346","209.6","32.5","221.0","+5.0"
"217","11","","Kenny Stills","HOU","WR78","8","121","306","213.4","30.1","216.0","-1.0"
"218","11","","Matt Prater","DET","K7","5","129","324","219.2","20.7","189.0","-29.0"
"219","11","","Dawson Knox","BUF","TE27","11","136","299","217.9","33.9","225.0","+6.0"
"220","11","","Dwayne Haskins","WAS","QB29","8","115","319","235.6","40.4","252.0","+32.0"
"221","11","","Tyrod Taylor","LAC","QB30","10","114","352","237.3","49.8","233.0","+12.0"
"222","11","","Tennessee (TEN)","","DST14","7","145","294","222.7","21.6","241.0","+19.0"
"223","11","","Tee Higgins","CIN","WR79","9","151","349","220.3","34.3","201.0","-22.0"
"224","11","","Jake Elliott","PHI","K8","9","137","292","227.4","21.3","244.0","+20.0"
"225","11","","Zane Gonzalez","ARI","K9","8","132","329","226.0","25.4","227.0","+2.0"
"226","11","","Ka'imi Fairbairn","HOU","K10","8","149","300","228.0","18.9","240.0","+14.0"
"227","11","","Kyle Rudolph","MIN","TE28","7","127","325","227.2","37.3","214.0","-13.0"
"228","11","","Seattle (SEA)","","DST15","6","134","301","227.3","24.7","238.0","+10.0"
"229","11","","Gus Edwards","BAL","RB67","8","148","388","225.3","44.0","237.0","+8.0"
"230","11","","Mohamed Sanu","NE","WR80","6","108","341","225.8","26.7","239.0","+9.0"
"231","11","","Chris Thompson","JAC","RB68","7","134","356","236.0","46.1","203.0","-28.0"
"232","12","","Bryce Love","WAS","RB69","8","85","331","236.4","56.3","300.0","+68.0"
"233","12","","Ito Smith","ATL","RB70","10","151","354","234.2","37.1","256.0","+23.0"
"234","12","","Michael Badgley","LAC","K11","10","157","309","232.2","23.3","236.0","+2.0"
"235","12","","Green Bay (GB)","","DST16","5","156","306","236.6","22.8","248.0","+13.0"
"236","12","","Josh Reynolds","LAR","WR81","9","154","323","233.9","33.4","215.0","-21.0"
"237","12","","Will Dissly","SEA","TE29","6","78","305","226.1","39.8","250.0","+13.0"
"238","12","","Indianapolis (IND)","","DST17","7","97","304","231.6","32.6","258.0","+20.0"
"239","12","","Jalen Richard","LV","RB71","6","167","329","244.1","40.5","257.0","+18.0"
"240","12","","Mason Crosby","GB","K12","5","154","300","238.1","19.8","249.0","+9.0"
"241","12","","Gerald Everett","LAR","TE30","9","108","334","236.2","34.3","266.0","+25.0"
"242","12","","Justice Hill","BAL","RB72","8","132","365","232.3","54.6","219.0","-23.0"
"243","12","","Jerick McKinnon","SF","RB73","11","121","360","240.9","55.5","284.0","+41.0"
"244","12","","Royce Freeman","DEN","RB74","8","98","382","240.9","55.8","231.0","-13.0"
"245","12","","Tampa Bay (TB)","","DST18","13","128","340","243.0","40.7","265.0","+20.0"
"246","12","","Danny Amendola","DET","WR82","5","168","369","238.7","27.8","268.0","+22.0"
"247","12","","Cleveland (CLE)","","DST19","9","142","309","246.6","27.5","260.0","+13.0"
"248","12","","Chris Conley","JAC","WR83","7","181","302","233.2","22.2","262.0","+14.0"
"249","12","","Dallas (DAL)","","DST20","10","102","299","245.5","28.8","251.0","+2.0"
"250","12","","Miles Boykin","BAL","WR84","8","151","323","235.0","27.5","272.0","+22.0"
"251","12","","Dan Bailey","MIN","K13","7","130","289","247.3","18.4","197.0","-54.0"
"252","12","","New York (NYJ)","","DST21","11","155","345","243.7","36.2","235.0","-17.0"
"253","12","","Rex Burkhead","NE","RB75","6","143","361","244.6","36.8","269.0","+16.0"
"254","12","","Ryan Fitzpatrick","MIA","QB31","11","118","358","261.0","45.5","228.0","-26.0"
"255","12","","Younghoe Koo","ATL","K14","10","150","323","246.3","33.0","270.0","+15.0"
"256","12","","Russell Gage","ATL","WR85","10","175","353","246.2","37.3","301.0","+45.0"
"257","12","","Tre'Quan Smith","NO","WR86","6","173","335","238.2","27.7","253.0","-4.0"
"258","12","","Brandon McManus","DEN","K15","8","148","332","252.1","23.4","255.0","-3.0"
"259","12","","Nick Foles","CHI","QB32","11","120","352","266.2","40.7","280.0","+21.0"
"260","12","","Andy Isabella","ARI","WR87","8","146","396","241.0","36.7","246.0","-14.0"
"261","12","","David Njoku","CLE","TE31","9","105","368","249.3","39.0","247.0","-14.0"
"262","12","","Jason Myers","SEA","K16","6","133","292","255.2","22.6","264.0","+2.0"
"263","12","","Jimmy Graham","CHI","TE32","11","155","305","256.8","23.8","254.0","-9.0"
"264","12","","Chris Boswell","PIT","K17","8","141","292","264.5","23.4","274.0","+10.0"
"265","12","","Joey Slye","CAR","K18","13","156","339","266.2","27.2","259.0","-6.0"
"266","12","","Darwin Thompson","KC","RB76","10","177","362","258.7","37.7","275.0","+9.0"
"267","12","","Peyton Barber","WAS","RB77","8","133","368","259.8","48.2","282.0","+15.0"
"268","12","","Dion Lewis","NYG","RB78","11","155","331","268.7","31.9","263.0","-5.0"
"269","12","","Chase Claypool","PIT","WR88","8","185","372","255.7","36.2","245.0","-24.0"
"270","12","","KJ Hamler","DEN","WR89","8","184","373","258.2","37.9","261.0","-9.0"
"271","12","","Marquez Valdes-Scantling","GB","WR90","5","108","370","255.1","26.5","288.0","+17.0"
"272","12","","Jaylen Samuels","PIT","RB79","8","176","380","270.2","47.0","212.0","-60.0"
"273","12","","Houston (HOU)","","DST22","8","162","312","277.3","21.4","276.0","+3.0"
"274","12","","Tyler Eifert","JAC","TE33","7","107","349","255.4","35.2","",""
"275","12","","Tua Tagovailoa","MIA","QB33","11","104","354","281.6","50.5","167.0","-108.0"
"276","12","","Phillip Dorsett","SEA","WR91","6","203","376","262.9","29.0","283.0","+7.0"
"277","13","","Stephen Hauschka","BUF","K19","11","181","306","276.2","20.9","273.0","-4.0"
"278","13","","Adam Humphries","TEN","WR92","7","193","348","268.2","27.8","297.0","+19.0"
"279","13","","Brian Hill","ATL","RB80","10","140","376","272.5","42.1","",""
"280","13","","Vance McDonald","PIT","TE34","8","141","344","277.4","29.4","278.0","-2.0"
"281","13","","Josh Lambo","JAC","K20","7","174","309","279.8","23.7","285.0","+4.0"
"282","13","","J.J. Arcega-Whiteside","PHI","WR93","9","122","383","277.1","38.3","292.0","+10.0"
"283","13","","Austin Seibert","CLE","K21","9","192","309","282.8","20.6","230.0","-53.0"
"284","13","","Zach Pascal","IND","WR94","7","205","378","268.1","32.4","277.0","-7.0"
"285","13","","Bryan Edwards","LV","WR95","6","113","395","254.6","60.2","182.0","-103.0"
"286","13","","Demarcus Robinson","KC","WR96","10","196","384","277.2","34.6","291.0","+5.0"
"287","13","","Mike Boone","MIN","RB81","7","188","381","273.7","34.3","299.0","+12.0"
"288","13","","Antonio Gandy-Golden","WAS","WR97","8","129","385","271.5","46.2","",""
"289","13","","Darrel Williams","KC","RB82","10","138","388","283.5","50.1","",""
"290","13","","Frank Gore","NYJ","RB83","11","123","391","278.7","52.3","",""
"291","13","","Auden Tate","CIN","WR98","9","148","386","273.6","39.5","281.0","-10.0"
"292","13","","Lamar Miller","NE","RB84","6","110","383","258.0","69.8","",""
"293","13","","Devonta Freeman","FA","RB85","","84","362","256.3","51.7","232.0","-61.0"
"294","13","","Washington (WAS)","","DST23","8","199","355","291.1","27.5","302.0","+8.0"
"295","13","","LeSean McCoy","TB","RB86","13","146","358","253.0","65.7","303.0","+8.0"
"296","13","","Jacksonville (JAC)","","DST24","7","145","347","291.5","26.6","295.0","-1.0"
"297","13","","Mitch Trubisky","CHI","QB34","11","126","375","303.6","41.7","287.0","-10.0"
"298","13","","Dare Ogunbowale","TB","RB87","13","177","361","290.6","37.1","",""
"299","13","","Kendrick Bourne","SF","WR99","11","122","396","277.2","48.1","",""
